MOVIE NAME ,MOVIE ID ,NUMBER OF RATINGS,
Wings of Courage (1995),1515,1,
Fear. The (1995),1520,1,
Object of My Affection. The (1998),1525,1,
Witness (1985),1526,1,
I Don't Want to Talk About It (De eso no se habla) (1993),1533,1,
Aiqing wansui (1994),1536,1,
Johns (1996),1543,1,
Shadows (Cienie) (1988),1546,1,
The Courtyard (1995),1548,1,
Yankee Zulu (1994),1557,1,
Hostile Intentions (1994),1559,1,
Tigrero: A Film That Was Never Made (1994),1561,1,
Eye of Vichy. The (Oeil de Vichy. L') (1993),1562,1,
Promise. The (Versprechen. Das) (1994),1563,1,
To Cross the Rubicon (1991),1564,1,
Daens (1992),1565,1,
Man from Down Under. The (1943),1566,1,
Careful (1992),1567,1,
Vermont Is For Lovers (1992),1568,1,
Vie est belle. La (Life is Rosey) (1987),1569,1,
Quartier Mozart (1992),1570,1,
Touki Bouki (Journey of the Hyena) (1973),1571,1,
Wend Kuuni (God's Gift) (1982),1572,1,
Pharaoh's Army (1995),1574,1,
I. Worst of All (Yo. la peor de todas) (1990),1575,1,
Hungarian Fairy Tale. A (1987),1576,1,
Death in the Garden (Mort en ce jardin. La) (1956),1577,1,
Baton Rouge (1988),1579,1,
Liebelei (1933),1580,1,
Woman in Question. The (1950),1581,1,
T-Men (1947),1582,1,
Invitation. The (Zaproszenie) (1986),1583,1,
Symphonie pastorale. La (1946),1584,1,
Lashou shentan (1992),1586,1,
Terror in a Texas Town (1958),1587,1,
Death in Brunswick (1991),1593,1,
Shopping (1994),1595,1,
Nemesis 2: Nebula (1995),1596,1,
Someone Else's America (1995),1599,1,
Office Killer (1997),1601,1,
Angela (1995),1603,1,
He Walked by Night (1948),1604,1,
Deceiver (1997),1606,1,
Tokyo Fist (1995),1613,1,
Reluctant Debutante. The (1958),1614,1,
Desert Winds (1995),1616,1,
King of New York (1990),1618,1,
All Things Fair (1996),1619,1,
Butterfly Kiss (1995),1621,1,
Hush (1998),1624,1,
Nightwatch (1997),1625,1,
Nobody Loves Me (Keiner liebt mich) (1994),1626,1,
Wife. The (1995),1627,1,
Silence of the Palace. The (Saimt el Qusur) (1994),1630,1,
Land and Freedom (Tierra y libertad) (1995),1632,1,
Á köldum klaka (Cold Fever) (1994),1633,1,
Etz Hadomim Tafus (Under the Domin Tree) (1994),1634,1,
Two Friends (1986) ,1635,1,
Brothers in Trouble (1995),1636,1,
Girls Town (1996),1637,1,
Normal Life (1996),1638,1,
Eighth Day. The (1996),1640,1,
Dadetown (1995),1641,1,
Butcher Boy. The (1998),1645,1,
Hana-bi (1997),1647,1,
Niagara. Niagara (1997),1648,1,
Big One. The (1997),1649,1,
Butcher Boy. The (1998),1650,1,
Spanish Prisoner. The (1997),1651,1,
Entertaining Angels: The Dorothy Day Story (1996),1653,1,
Chairman of the Board (1998),1654,1,
Favor. The (1994),1655,1,
Target (1995),1657,1,
Getting Away With Murder (1996),1659,1,
Small Faces (1995),1660,1,
New Age. The (1994),1661,1,
Nothing Personal (1995),1663,1,
Brother's Kiss. A (1997),1665,1,
Ripe (1996),1666,1,
Next Step. The (1995),1667,1,
Wedding Bell Blues (1996),1668,1,
MURDER and murder (1996),1669,1,
Tainted (1998),1670,1,
Further Gesture. A (1996),1671,1,
Mirage (1995),1673,1,
Mamma Roma (1962),1674,1,
Sunchaser. The (1996),1675,1,
War at Home. The (1996),1676,1,
Sweet Nothing (1995),1677,1,
Mat' i syn (1997),1678,1,
B. Monkey (1998),1679,1,
Sliding Doors (1998),1680,1,
You So Crazy (1994),1681,1,
Scream of Stone (Schrei aus Stein) (1991),1682,1,



,,,(κενό)
